hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
St. Jude General Hospital,Rural,250,3,3,19,2,0.303,0,130.7,2.1
Riverside Medical Center,Rural,120,7,5,22,1,0.141,1,236.4,1.0
Valley Health Infirmary,Rural,120,2,6,16,2,0.326,1,158.9,1.3
Valley Health Infirmary,Rural,120,11,0,5,1,0.221,0,148.4,1.9
St. Jude General Hospital,Rural,250,6,2,14,5,0.338,1,182.8,1.1
Valley Health Infirmary,Rural,120,4,4,7,3,0.208,1,157.3,1.0
Valley Health Infirmary,Rural,120,6,2,6,4,0.258,0,155.5,1.1
Northside Community Hospital,Urban,200,4,4,1,4,0.224,1,169.4,1.3
St. Jude General Hospital,Rural,250,4,4,12,2,0.275,1,132.8,2.8
Metro Care Hospital,Urban,350,4,5,22,5,0.162,0,258.2,1.0
St. Jude General Hospital,Rural,250,9,4,5,4,0.212,0,165.8,1.0
Metro Care Hospital,Urban,350,7,1,4,3,0.114,0,234.0,1.0
Northside Community Hospital,Urban,200,3,6,19,2,0.258,0,172.7,1.0
Riverside Medical Center,Rural,120,3,3,0,4,0.341,1,138.0,2.7
Valley Health Infirmary,Rural,120,6,2,17,4,0.131,0,263.2,1.0
Northside Community Hospital,Urban,200,6,3,14,4,0.272,1,191.0,1.0
Valley Health Infirmary,Rural,120,4,6,22,1,0.298,1,137.2,1.5
Riverside Medical Center,Rural,120,9,0,9,2,0.169,1,179.0,1.0
Riverside Medical Center,Rural,120,4,6,2,3,0.183,0,199.1,1.0
Northside Community Hospital,Urban,200,9,2,4,3,0.166,1,190.6,1.0
Riverside Medical Center,Rural,120,4,3,23,1,0.188,0,156.5,1.6
Metro Care Hospital,Urban,350,2,3,12,3,0.129,1,242.0,1.0
Riverside Medical Center,Rural,120,2,5,7,3,0.183,1,232.9,1.0
Valley Health Infirmary,Rural,120,5,5,21,4,0.205,1,225.5,1.0
Valley Health Infirmary,Rural,120,4,6,20,3,0.306,1,178.3,1.0
Valley Health Infirmary,Rural,120,7,6,1,3,0.289,1,173.6,1.0
Valley Health Infirmary,Rural,120,11,0,8,4,0.303,1,157.9,1.2
Metro Care Hospital,Urban,350,5,4,16,5,0.25,1,199.3,1.0
St. Jude General Hospital,Rural,250,6,2,17,2,0.195,1,184.7,1.0
Northside Community Hospital,Urban,200,10,5,12,2,0.215,1,153.7,2.7
Valley Health Infirmary,Rural,120,4,2,0,5,0.193,1,233.2,1.0
Riverside Medical Center,Rural,120,12,0,11,3,0.231,1,185.2,1.0
Valley Health Infirmary,Rural,120,2,5,19,4,0.325,1,221.4,1.5
Riverside Medical Center,Rural,120,10,5,19,3,0.185,1,232.4,1.0
Riverside Medical Center,Rural,120,9,4,20,2,0.226,1,178.5,1.0
Valley Health Infirmary,Rural,120,10,2,4,3,0.271,0,152.6,2.0
Metro Care Hospital,Urban,350,7,2,7,3,0.285,0,148.0,2.0
Riverside Medical Center,Rural,120,4,2,14,3,0.178,1,212.0,1.0
Riverside Medical Center,Rural,120,3,4,2,1,0.184,1,165.0,1.0
Valley Health Infirmary,Rural,120,10,5,5,5,0.324,1,187.2,1.0
Riverside Medical Center,Rural,120,3,0,12,3,0.138,1,235.3,1.0
Riverside Medical Center,Rural,120,9,2,11,3,0.259,1,147.0,2.9
Valley Health Infirmary,Rural,120,5,3,18,4,0.318,1,178.4,1.6
Valley Health Infirmary,Rural,120,3,4,17,3,0.332,0,149.2,2.2
Northside Community Hospital,Urban,200,5,1,23,4,0.123,1,260.2,1.0
Metro Care Hospital,Urban,350,2,0,0,5,0.169,0,220.3,1.0
Metro Care Hospital,Urban,350,11,3,6,3,0.179,1,174.5,1.1
Riverside Medical Center,Rural,120,4,2,11,3,0.251,0,150.3,1.3
Metro Care Hospital,Urban,350,10,1,9,5,0.266,1,176.2,1.0
Riverside Medical Center,Rural,120,2,0,11,2,0.31,1,145.4,1.6
Northside Community Hospital,Urban,200,2,4,10,1,0.2,0,170.3,1.3
Valley Health Infirmary,Rural,120,12,1,3,5,0.211,1,210.6,1.7
Valley Health Infirmary,Rural,120,8,5,18,4,0.199,1,234.7,1.0
Valley Health Infirmary,Rural,120,1,6,5,5,0.114,0,324.0,1.0
Metro Care Hospital,Urban,350,7,1,8,1,0.169,1,173.0,1.9
Northside Community Hospital,Urban,200,5,6,19,2,0.177,1,215.3,1.0
Metro Care Hospital,Urban,350,11,3,9,2,0.304,1,135.7,3.0
Metro Care Hospital,Urban,350,8,0,4,3,0.22,0,168.9,1.4
Northside Community Hospital,Urban,200,1,3,12,3,0.151,0,225.5,1.0
Northside Community Hospital,Urban,200,11,3,8,3,0.232,1,152.2,2.2
Northside Community Hospital,Urban,200,7,2,1,1,0.15,0,205.8,1.0
Northside Community Hospital,Urban,200,5,4,17,3,0.163,0,228.6,1.0
Valley Health Infirmary,Rural,120,4,1,20,3,0.318,1,156.2,2.0
St. Jude General Hospital,Rural,250,7,0,0,2,0.308,1,116.3,1.9
St. Jude General Hospital,Rural,250,10,5,23,5,0.138,1,247.9,1.0
Northside Community Hospital,Urban,200,2,4,20,2,0.265,1,182.8,1.3
St. Jude General Hospital,Rural,250,12,4,11,4,0.209,1,180.8,1.0
St. Jude General Hospital,Rural,250,1,0,9,4,0.195,1,200.3,1.4
Northside Community Hospital,Urban,200,1,4,1,3,0.267,0,169.6,1.7
St. Jude General Hospital,Rural,250,11,2,8,2,0.181,1,162.6,1.0
Metro Care Hospital,Urban,350,12,4,1,3,0.102,1,265.8,1.0
Riverside Medical Center,Rural,120,1,2,22,4,0.135,1,295.1,1.0
Riverside Medical Center,Rural,120,12,1,23,2,0.138,1,237.1,1.0
Northside Community Hospital,Urban,200,5,1,21,4,0.128,1,263.5,1.0
Valley Health Infirmary,Rural,120,10,3,13,5,0.194,0,203.9,1.0
Northside Community Hospital,Urban,200,7,2,10,5,0.202,0,219.9,1.0
Valley Health Infirmary,Rural,120,2,5,22,3,0.268,1,210.2,1.0
Riverside Medical Center,Rural,120,10,1,10,4,0.195,1,194.9,1.0
Northside Community Hospital,Urban,200,8,4,16,5,0.136,0,291.3,1.0
Metro Care Hospital,Urban,350,4,0,3,3,0.173,1,161.3,2.3
St. Jude General Hospital,Rural,250,12,0,12,2,0.312,1,129.2,2.6
Valley Health Infirmary,Rural,120,3,6,6,2,0.167,1,193.9,1.1
St. Jude General Hospital,Rural,250,10,2,15,2,0.322,1,158.9,1.5
St. Jude General Hospital,Rural,250,11,5,0,4,0.223,0,170.9,1.0
Northside Community Hospital,Urban,200,8,3,12,3,0.317,1,141.6,2.2
St. Jude General Hospital,Rural,250,2,4,0,4,0.202,1,191.8,1.0
Metro Care Hospital,Urban,350,11,2,10,4,0.161,0,225.9,1.0
St. Jude General Hospital,Rural,250,11,6,5,3,0.246,1,165.1,1.5
Northside Community Hospital,Urban,200,3,0,19,3,0.255,1,161.4,1.0
Metro Care Hospital,Urban,350,12,2,2,1,0.244,0,111.9,2.5
Riverside Medical Center,Rural,120,3,4,11,4,0.215,1,192.3,1.0
St. Jude General Hospital,Rural,250,10,5,4,3,0.131,0,235.7,1.0
Northside Community Hospital,Urban,200,11,5,8,3,0.264,1,167.6,1.0
Riverside Medical Center,Rural,120,1,1,11,1,0.322,1,116.5,1.7
Riverside Medical Center,Rural,120,6,4,9,5,0.34,1,185.2,1.0
Valley Health Infirmary,Rural,120,2,6,18,5,0.244,1,251.0,1.0
Metro Care Hospital,Urban,350,1,1,4,3,0.103,1,275.8,1.0
St. Jude General Hospital,Rural,250,2,1,4,3,0.119,1,262.0,1.0
Northside Community Hospital,Urban,200,12,1,8,4,0.296,1,174.3,1.0
Valley Health Infirmary,Rural,120,6,2,19,2,0.311,1,164.6,1.0
Metro Care Hospital,Urban,350,4,6,16,2,0.338,1,133.6,2.0
Valley Health Infirmary,Rural,120,6,0,9,3,0.25,1,168.4,1.0
Metro Care Hospital,Urban,350,12,5,20,2,0.288,0,189.1,1.0
Metro Care Hospital,Urban,350,9,2,0,3,0.31,0,133.3,1.3
St. Jude General Hospital,Rural,250,10,0,21,3,0.256,1,185.9,1.0
Metro Care Hospital,Urban,350,12,5,15,3,0.278,1,182.2,1.6
Valley Health Infirmary,Rural,120,10,6,14,2,0.149,1,242.4,1.0
Metro Care Hospital,Urban,350,8,6,22,3,0.246,0,194.0,1.3
St. Jude General Hospital,Rural,250,1,4,16,3,0.327,1,173.0,1.4
St. Jude General Hospital,Rural,250,8,5,19,3,0.13,0,276.7,1.0
Valley Health Infirmary,Rural,120,9,5,12,3,0.291,1,173.2,1.1
Riverside Medical Center,Rural,120,6,6,0,5,0.194,1,216.7,1.0
Riverside Medical Center,Rural,120,10,5,7,2,0.308,0,125.1,2.2
Metro Care Hospital,Urban,350,5,3,4,4,0.28,1,140.8,1.6
Northside Community Hospital,Urban,200,6,4,5,2,0.333,1,83.0,3.3
Metro Care Hospital,Urban,350,6,2,22,3,0.284,0,151.5,2.5
Valley Health Infirmary,Rural,120,9,2,19,3,0.214,1,212.2,1.0
Valley Health Infirmary,Rural,120,4,0,13,3,0.123,1,221.8,1.0
Valley Health Infirmary,Rural,120,2,2,21,4,0.273,0,205.6,1.0
Valley Health Infirmary,Rural,120,11,1,22,3,0.214,1,181.6,1.1
Valley Health Infirmary,Rural,120,11,5,10,3,0.274,0,168.1,1.2
St. Jude General Hospital,Rural,250,9,2,5,4,0.144,1,227.9,1.0
Riverside Medical Center,Rural,120,2,0,10,2,0.304,1,147.8,1.4
Valley Health Infirmary,Rural,120,10,0,12,2,0.22,1,144.3,2.4
Northside Community Hospital,Urban,200,9,1,11,1,0.332,0,100.4,3.4
Northside Community Hospital,Urban,200,2,0,21,2,0.271,0,189.7,1.0
Northside Community Hospital,Urban,200,12,6,1,3,0.109,1,297.7,1.0
Northside Community Hospital,Urban,200,8,3,20,3,0.225,1,189.1,1.9
St. Jude General Hospital,Rural,250,9,6,2,2,0.329,1,120.7,2.0
Northside Community Hospital,Urban,200,12,5,22,1,0.277,0,169.0,1.1
Valley Health Infirmary,Rural,120,10,5,3,4,0.216,1,205.2,1.0
Metro Care Hospital,Urban,350,9,5,16,4,0.34,1,152.9,2.3
Northside Community Hospital,Urban,200,10,4,21,5,0.182,1,242.4,1.0
St. Jude General Hospital,Rural,250,9,2,5,5,0.206,1,187.0,1.1
St. Jude General Hospital,Rural,250,2,3,6,5,0.268,1,188.6,1.0
Northside Community Hospital,Urban,200,4,2,14,4,0.174,0,217.4,1.0
Metro Care Hospital,Urban,350,7,3,10,3,0.21,1,172.6,1.0
Northside Community Hospital,Urban,200,12,2,23,2,0.252,0,148.9,1.9
St. Jude General Hospital,Rural,250,2,1,2,3,0.23,1,163.5,2.2
Riverside Medical Center,Rural,120,1,6,5,1,0.139,1,220.6,1.0
Valley Health Infirmary,Rural,120,3,0,1,4,0.265,1,153.2,1.0
St. Jude General Hospital,Rural,250,12,0,13,3,0.217,1,190.6,1.0
Northside Community Hospital,Urban,200,4,6,8,3,0.248,1,151.9,1.5
Valley Health Infirmary,Rural,120,8,1,17,1,0.282,1,150.6,1.4
Northside Community Hospital,Urban,200,6,3,18,3,0.162,0,211.3,1.0
Northside Community Hospital,Urban,200,11,6,11,3,0.293,1,170.7,1.3
Riverside Medical Center,Rural,120,2,4,12,2,0.26,1,164.7,1.1
Valley Health Infirmary,Rural,120,9,3,11,3,0.286,1,137.5,3.3
Valley Health Infirmary,Rural,120,2,0,11,1,0.225,0,159.6,1.6
Riverside Medical Center,Rural,120,12,4,17,3,0.18,0,224.7,1.0
St. Jude General Hospital,Rural,250,5,2,8,3,0.211,1,169.4,1.2
Northside Community Hospital,Urban,200,12,4,16,4,0.277,1,205.2,1.0
Metro Care Hospital,Urban,350,4,3,20,3,0.235,0,173.3,1.0
Northside Community Hospital,Urban,200,7,1,15,3,0.173,0,209.9,1.0
Northside Community Hospital,Urban,200,8,2,16,5,0.253,0,196.8,1.0
St. Jude General Hospital,Rural,250,5,3,20,3,0.313,1,133.2,1.2
Northside Community Hospital,Urban,200,10,2,23,3,0.134,1,200.1,1.0
Riverside Medical Center,Rural,120,5,4,7,3,0.344,1,132.3,1.6
Riverside Medical Center,Rural,120,2,0,10,4,0.114,0,309.5,1.0
Valley Health Infirmary,Rural,120,8,3,23,3,0.221,1,172.2,1.0
Metro Care Hospital,Urban,350,2,1,1,3,0.219,0,164.8,1.2
Northside Community Hospital,Urban,200,10,6,7,4,0.152,1,231.9,1.0
Northside Community Hospital,Urban,200,12,4,11,1,0.31,1,115.4,2.8
St. Jude General Hospital,Rural,250,6,3,20,4,0.228,1,178.2,1.0
Riverside Medical Center,Rural,120,8,1,0,3,0.14,1,221.5,1.1
Metro Care Hospital,Urban,350,6,3,22,3,0.284,1,149.6,1.4
Valley Health Infirmary,Rural,120,4,4,12,4,0.273,1,186.2,1.3
Riverside Medical Center,Rural,120,4,3,21,2,0.341,1,136.7,2.2
Valley Health Infirmary,Rural,120,6,2,20,4,0.222,0,209.2,1.0
St. Jude General Hospital,Rural,250,4,4,16,5,0.182,1,215.5,1.0
St. Jude General Hospital,Rural,250,8,3,13,3,0.121,0,249.0,1.0
Northside Community Hospital,Urban,200,9,6,13,5,0.289,1,174.1,1.5
Metro Care Hospital,Urban,350,1,0,15,1,0.226,0,150.3,2.3
Valley Health Infirmary,Rural,120,4,3,16,4,0.344,0,159.8,1.5
Riverside Medical Center,Rural,120,4,2,5,3,0.284,1,138.0,1.0
St. Jude General Hospital,Rural,250,2,1,6,3,0.301,1,139.1,2.2
Northside Community Hospital,Urban,200,6,6,0,2,0.348,1,128.4,2.1
Northside Community Hospital,Urban,200,3,1,14,3,0.219,0,173.8,1.0
Valley Health Infirmary,Rural,120,7,6,19,2,0.139,0,263.6,1.0
St. Jude General Hospital,Rural,250,11,1,20,5,0.165,1,237.0,1.0
Metro Care Hospital,Urban,350,11,0,17,4,0.193,1,191.2,1.0
St. Jude General Hospital,Rural,250,5,2,12,2,0.237,1,127.1,2.1
Valley Health Infirmary,Rural,120,4,4,23,2,0.148,1,184.9,1.6
Valley Health Infirmary,Rural,120,5,1,1,4,0.189,1,198.1,1.0
St. Jude General Hospital,Rural,250,8,6,18,3,0.179,1,221.9,1.0
Valley Health Infirmary,Rural,120,3,2,14,2,0.121,1,264.1,1.0
St. Jude General Hospital,Rural,250,7,3,11,3,0.187,1,156.3,1.6
Riverside Medical Center,Rural,120,6,0,14,3,0.147,0,252.4,1.0
St. Jude General Hospital,Rural,250,12,2,17,2,0.181,0,201.3,1.0
St. Jude General Hospital,Rural,250,1,2,13,4,0.146,1,260.0,1.0
Valley Health Infirmary,Rural,120,7,4,5,3,0.28,0,158.2,1.0
Valley Health Infirmary,Rural,120,7,2,11,1,0.122,0,233.5,1.0
Northside Community Hospital,Urban,200,12,4,19,5,0.308,1,209.2,1.0
Northside Community Hospital,Urban,200,1,0,22,3,0.219,1,206.9,1.0
Riverside Medical Center,Rural,120,9,0,5,2,0.225,1,138.9,1.9
Northside Community Hospital,Urban,200,6,3,8,2,0.246,1,134.7,1.8
St. Jude General Hospital,Rural,250,12,4,3,2,0.19,1,167.2,1.0
Valley Health Infirmary,Rural,120,2,4,16,3,0.125,1,284.7,1.0
Northside Community Hospital,Urban,200,5,1,1,2,0.296,0,123.0,2.3
Northside Community Hospital,Urban,200,11,1,15,3,0.333,1,151.3,2.3
Riverside Medical Center,Rural,120,4,3,23,2,0.339,1,133.0,1.8
Riverside Medical Center,Rural,120,7,0,13,3,0.261,1,168.3,1.8
St. Jude General Hospital,Rural,250,8,5,7,4,0.19,1,201.0,1.0
Valley Health Infirmary,Rural,120,11,1,13,3,0.23,1,170.2,1.0
Riverside Medical Center,Rural,120,11,2,1,3,0.271,1,160.7,1.0
Northside Community Hospital,Urban,200,1,0,15,5,0.275,1,190.1,1.3
Valley Health Infirmary,Rural,120,5,5,3,3,0.206,1,176.0,1.3
Valley Health Infirmary,Rural,120,3,2,0,3,0.331,1,129.0,2.5
Northside Community Hospital,Urban,200,1,6,22,3,0.178,1,235.4,1.0
Riverside Medical Center,Rural,120,12,4,19,4,0.223,1,236.0,1.0
Northside Community Hospital,Urban,200,3,0,13,2,0.341,1,100.6,2.9
Valley Health Infirmary,Rural,120,6,6,7,3,0.336,0,136.7,2.3
Metro Care Hospital,Urban,350,7,3,2,3,0.253,0,149.3,1.0
Metro Care Hospital,Urban,350,8,4,4,3,0.178,1,178.3,1.3
St. Jude General Hospital,Rural,250,11,4,5,4,0.17,1,212.8,1.0
Northside Community Hospital,Urban,200,4,2,21,3,0.138,0,244.2,1.0
Northside Community Hospital,Urban,200,3,6,7,2,0.283,1,180.3,1.2
St. Jude General Hospital,Rural,250,5,4,5,5,0.236,1,167.6,1.1
St. Jude General Hospital,Rural,250,9,1,5,1,0.252,1,96.7,2.8
St. Jude General Hospital,Rural,250,6,0,3,1,0.229,0,140.1,1.1
Valley Health Infirmary,Rural,120,9,1,6,3,0.231,1,199.8,1.1
Northside Community Hospital,Urban,200,6,2,23,4,0.251,1,161.4,1.8
Valley Health Infirmary,Rural,120,2,5,18,4,0.307,1,213.0,1.0
St. Jude General Hospital,Rural,250,5,2,6,5,0.127,0,254.9,1.0
Northside Community Hospital,Urban,200,12,0,2,2,0.286,1,135.4,2.3
Valley Health Infirmary,Rural,120,11,4,7,3,0.21,0,148.8,1.1
Valley Health Infirmary,Rural,120,9,6,0,2,0.291,1,146.6,2.8
St. Jude General Hospital,Rural,250,8,6,0,4,0.323,0,166.1,1.0
Northside Community Hospital,Urban,200,7,3,13,3,0.176,1,178.2,1.0
St. Jude General Hospital,Rural,250,1,2,5,1,0.117,0,220.4,1.0
Northside Community Hospital,Urban,200,4,0,9,4,0.173,0,184.4,1.1
Metro Care Hospital,Urban,350,12,3,13,3,0.161,1,209.7,1.0
Riverside Medical Center,Rural,120,7,4,3,3,0.273,1,158.5,1.6
Riverside Medical Center,Rural,120,11,5,5,4,0.134,1,257.4,1.0
Riverside Medical Center,Rural,120,7,2,15,2,0.12,1,268.2,1.0
St. Jude General Hospital,Rural,250,6,5,20,2,0.28,1,174.6,1.6
Metro Care Hospital,Urban,350,8,0,0,2,0.225,0,144.3,1.9
Northside Community Hospital,Urban,200,11,5,5,3,0.216,1,185.3,1.0
Valley Health Infirmary,Rural,120,6,5,8,2,0.252,1,177.0,1.9
Northside Community Hospital,Urban,200,10,0,14,3,0.289,1,174.5,1.0
Valley Health Infirmary,Rural,120,3,0,11,2,0.144,0,203.6,1.0
Northside Community Hospital,Urban,200,4,2,2,5,0.247,1,182.4,1.0
Metro Care Hospital,Urban,350,3,5,10,2,0.31,0,110.9,1.4
Valley Health Infirmary,Rural,120,1,3,14,2,0.187,1,208.4,1.0
St. Jude General Hospital,Rural,250,10,0,2,2,0.295,0,116.1,2.7
Northside Community Hospital,Urban,200,5,4,13,4,0.314,0,142.5,2.8
Northside Community Hospital,Urban,200,1,5,1,3,0.274,1,201.7,1.0
Valley Health Infirmary,Rural,120,1,0,3,4,0.247,1,198.4,1.0
St. Jude General Hospital,Rural,250,2,3,18,4,0.256,1,209.1,1.0
St. Jude General Hospital,Rural,250,4,6,11,5,0.301,0,189.9,1.1
Metro Care Hospital,Urban,350,6,2,1,4,0.289,0,143.2,1.0
St. Jude General Hospital,Rural,250,8,5,16,1,0.197,1,184.7,1.0
St. Jude General Hospital,Rural,250,3,6,2,4,0.157,1,227.7,1.0
St. Jude General Hospital,Rural,250,1,0,9,5,0.174,0,238.6,1.0
Riverside Medical Center,Rural,120,3,0,15,5,0.168,1,268.4,1.0
Metro Care Hospital,Urban,350,12,4,21,2,0.174,0,189.8,1.3
Northside Community Hospital,Urban,200,3,4,8,3,0.233,1,147.1,1.0
Valley Health Infirmary,Rural,120,5,5,10,2,0.341,0,131.9,2.5
Northside Community Hospital,Urban,200,11,6,20,2,0.341,0,162.6,1.6
Metro Care Hospital,Urban,350,12,6,14,4,0.257,0,221.7,1.0
Valley Health Infirmary,Rural,120,12,0,2,5,0.318,0,190.8,1.5
Metro Care Hospital,Urban,350,4,5,15,3,0.35,0,164.9,1.0
St. Jude General Hospital,Rural,250,4,0,20,4,0.324,1,157.7,2.0
Valley Health Infirmary,Rural,120,9,4,20,1,0.138,0,238.9,1.0
St. Jude General Hospital,Rural,250,7,3,20,1,0.195,0,164.4,1.1
Northside Community Hospital,Urban,200,4,1,11,3,0.243,0,131.5,2.2
Northside Community Hospital,Urban,200,3,1,22,3,0.149,1,237.6,1.0
Valley Health Infirmary,Rural,120,6,0,4,4,0.306,1,137.9,1.5
Valley Health Infirmary,Rural,120,3,6,6,3,0.154,1,215.8,1.0
Metro Care Hospital,Urban,350,6,4,8,3,0.208,1,152.9,1.4
Metro Care Hospital,Urban,350,11,2,20,3,0.136,0,235.4,1.0
St. Jude General Hospital,Rural,250,11,2,17,2,0.241,0,171.1,1.0
Valley Health Infirmary,Rural,120,12,1,20,5,0.228,1,224.8,1.0
Northside Community Hospital,Urban,200,9,3,7,3,0.289,1,124.4,1.6
Metro Care Hospital,Urban,350,6,1,11,3,0.198,1,200.6,1.0
Metro Care Hospital,Urban,350,12,0,19,4,0.242,1,199.7,1.0
Northside Community Hospital,Urban,200,4,3,1,3,0.289,1,118.2,2.3
Metro Care Hospital,Urban,350,5,2,9,4,0.295,1,127.2,1.9
St. Jude General Hospital,Rural,250,6,6,18,2,0.189,0,191.1,1.0
Valley Health Infirmary,Rural,120,11,4,8,2,0.136,0,209.2,1.2
Northside Community Hospital,Urban,200,3,4,23,5,0.129,1,269.5,1.0
Valley Health Infirmary,Rural,120,8,0,7,4,0.278,0,191.8,1.0
Metro Care Hospital,Urban,350,4,1,23,3,0.209,1,144.4,1.3
Metro Care Hospital,Urban,350,8,0,23,3,0.135,1,209.4,1.0
Northside Community Hospital,Urban,200,10,4,23,5,0.162,1,225.8,1.0
St. Jude General Hospital,Rural,250,10,2,0,2,0.296,0,108.3,3.5
Riverside Medical Center,Rural,120,3,4,5,1,0.258,1,137.7,2.0
Northside Community Hospital,Urban,200,10,3,11,3,0.235,1,184.5,1.0
Riverside Medical Center,Rural,120,7,6,23,2,0.245,1,168.0,1.5
Riverside Medical Center,Rural,120,11,6,18,2,0.152,0,238.0,1.0
St. Jude General Hospital,Rural,250,12,5,16,4,0.171,0,253.7,1.0
Riverside Medical Center,Rural,120,9,4,1,1,0.206,1,148.0,1.6
Riverside Medical Center,Rural,120,4,4,10,4,0.192,1,183.4,1.6
St. Jude General Hospital,Rural,250,8,6,17,3,0.3,1,169.7,1.4
Riverside Medical Center,Rural,120,3,5,22,3,0.254,1,172.9,1.4
Riverside Medical Center,Rural,120,7,3,21,3,0.264,1,196.1,1.0
Riverside Medical Center,Rural,120,3,1,10,3,0.174,1,208.6,1.0
Northside Community Hospital,Urban,200,12,4,17,2,0.145,0,253.0,1.0
Northside Community Hospital,Urban,200,7,6,7,2,0.143,1,221.3,1.0
Northside Community Hospital,Urban,200,11,0,14,4,0.278,0,177.1,1.0
St. Jude General Hospital,Rural,250,10,4,8,2,0.2,0,150.4,2.1
Metro Care Hospital,Urban,350,10,0,14,1,0.213,0,135.0,1.8
Riverside Medical Center,Rural,120,11,3,6,5,0.283,1,187.2,1.5
Riverside Medical Center,Rural,120,11,4,19,5,0.344,0,199.8,1.0
St. Jude General Hospital,Rural,250,6,6,12,3,0.157,0,196.3,1.0
Riverside Medical Center,Rural,120,2,3,12,1,0.099,1,253.6,1.0
Northside Community Hospital,Urban,200,11,3,0,4,0.165,0,191.4,1.0
Metro Care Hospital,Urban,350,3,1,19,4,0.289,1,162.8,1.5
Valley Health Infirmary,Rural,120,6,4,3,2,0.165,1,183.4,1.0
Riverside Medical Center,Rural,120,4,0,23,2,0.254,1,140.3,1.6
Northside Community Hospital,Urban,200,6,0,3,4,0.256,0,146.7,1.6
Valley Health Infirmary,Rural,120,1,4,3,5,0.162,0,243.9,1.0
Metro Care Hospital,Urban,350,10,5,12,4,0.136,1,226.7,1.0
Valley Health Infirmary,Rural,120,12,1,1,2,0.175,1,207.6,1.0
Northside Community Hospital,Urban,200,1,1,22,3,0.149,0,240.3,1.0
Valley Health Infirmary,Rural,120,3,1,14,3,0.162,1,226.1,1.0
St. Jude General Hospital,Rural,250,8,0,3,2,0.229,1,140.0,1.5
Valley Health Infirmary,Rural,120,8,3,5,2,0.246,0,150.2,2.1
Riverside Medical Center,Rural,120,11,6,2,2,0.137,1,233.6,1.0
Riverside Medical Center,Rural,120,4,5,6,3,0.253,0,155.1,1.0
St. Jude General Hospital,Rural,250,6,1,5,3,0.177,1,148.9,1.6
Northside Community Hospital,Urban,200,8,0,2,4,0.247,1,159.7,1.0
Riverside Medical Center,Rural,120,7,0,3,4,0.294,0,173.0,1.1
Metro Care Hospital,Urban,350,11,3,9,5,0.306,1,137.4,1.6
Riverside Medical Center,Rural,120,7,4,20,4,0.191,1,223.1,1.0
Riverside Medical Center,Rural,120,4,4,8,2,0.25,1,146.3,1.1
Northside Community Hospital,Urban,200,9,6,5,3,0.303,1,159.2,2.1
Valley Health Infirmary,Rural,120,12,6,19,3,0.104,1,339.0,1.0
Riverside Medical Center,Rural,120,10,1,10,1,0.259,1,129.6,1.5
St. Jude General Hospital,Rural,250,6,6,6,5,0.312,0,159.7,1.1
Valley Health Infirmary,Rural,120,12,1,17,1,0.188,0,219.8,1.0
Metro Care Hospital,Urban,350,11,5,3,3,0.225,1,150.8,1.6
Northside Community Hospital,Urban,200,3,6,4,3,0.281,1,147.5,1.6
Metro Care Hospital,Urban,350,5,3,3,3,0.136,0,205.6,1.0
