hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
Summit Health Center,Urban,157,2,4,13,3,0.25,1,78,2
Riverside Medical Center,Urban,73,9,6,3,3,0.3333333333333333,3,20,4
Riverside Medical Center,Urban,151,3,6,6,3,0.3333333333333333,10,17,5
Riverside Medical Center,Urban,164,12,6,1,4,0.5,9,19,4
Springfield General Hospital,Urban,174,10,0,23,2,0.3333333333333333,1,63,3
Northside Community Hospital,Rural,18,3,3,7,2,0.25,3,51,3
St. Mary’s Regional Health,Rural,22,10,1,9,2,0.3333333333333333,1,59,3
St. Mary’s Regional Health,Rural,31,9,3,8,4,1.0,1,12,5
Riverside Medical Center,Urban,128,8,5,13,4,0.5,7,15,5
Springfield General Hospital,Urban,161,9,4,1,4,0.5,7,17,5
Springfield General Hospital,Urban,171,7,3,5,2,0.25,6,90,2
Northside Community Hospital,Rural,13,10,0,8,1,0.2,0,162,1
Springfield General Hospital,Urban,93,10,2,22,1,0.25,4,148,1
Springfield General Hospital,Urban,129,2,3,0,4,0.5,9,24,4
St. Mary’s Regional Health,Rural,24,3,3,5,4,1.0,3,7,5
Summit Health Center,Urban,93,6,4,7,2,0.25,2,133,1
St. Mary’s Regional Health,Rural,43,1,1,3,4,0.5,1,40,4
Springfield General Hospital,Urban,78,7,2,3,2,0.3333333333333333,1,91,2
Riverside Medical Center,Urban,136,10,0,16,2,0.25,3,148,1
St. Mary’s Regional Health,Rural,13,11,4,8,2,0.25,3,75,3
Riverside Medical Center,Urban,158,5,6,9,3,0.25,6,28,4
St. Mary’s Regional Health,Rural,35,8,5,23,2,0.3333333333333333,1,72,2
Riverside Medical Center,Urban,171,2,1,9,1,0.2,6,255,1
Northside Community Hospital,Rural,49,11,1,7,2,0.25,0,123,1
Summit Health Center,Urban,192,12,4,17,3,0.3333333333333333,5,42,4
Riverside Medical Center,Urban,67,8,2,2,3,0.25,8,72,3
Northside Community Hospital,Rural,34,11,6,11,3,0.3333333333333333,0,18,4
Springfield General Hospital,Urban,151,12,3,2,1,0.25,1,276,1
Riverside Medical Center,Urban,176,7,4,18,1,0.2,3,240,1
Northside Community Hospital,Rural,35,10,3,8,4,1.0,1,17,4
Riverside Medical Center,Urban,174,2,4,3,1,0.25,9,230,1
Summit Health Center,Urban,168,11,6,0,2,0.25,6,61,3
Riverside Medical Center,Urban,131,12,4,13,2,0.25,2,158,1
St. Mary’s Regional Health,Rural,22,4,0,22,1,0.25,2,247,1
Northside Community Hospital,Rural,28,11,6,4,1,0.2,2,89,2
Springfield General Hospital,Urban,130,8,2,5,3,0.3333333333333333,10,46,3
Summit Health Center,Urban,118,12,2,0,4,0.5,3,41,4
Springfield General Hospital,Urban,117,12,2,13,4,1.0,3,21,4
Northside Community Hospital,Rural,49,4,3,2,3,0.25,1,26,5
Northside Community Hospital,Rural,39,1,4,14,3,0.3333333333333333,1,48,3
Northside Community Hospital,Rural,46,11,6,22,4,1.0,3,8,4
Springfield General Hospital,Urban,168,6,1,10,1,0.2,1,181,1
Springfield General Hospital,Urban,171,3,4,19,3,0.3333333333333333,6,23,5
Summit Health Center,Urban,148,1,0,9,3,0.3333333333333333,10,62,3
St. Mary’s Regional Health,Rural,40,2,2,8,4,1.0,0,27,4
St. Mary’s Regional Health,Rural,20,4,1,14,1,0.25,0,205,1
Springfield General Hospital,Urban,190,5,0,11,3,0.25,2,75,2
Riverside Medical Center,Urban,129,11,3,14,4,0.5,10,8,4
Springfield General Hospital,Urban,56,12,6,3,2,0.3333333333333333,10,85,2
Springfield General Hospital,Urban,112,8,0,11,4,0.5,7,37,4
Northside Community Hospital,Rural,47,12,6,20,2,0.3333333333333333,1,111,2
Springfield General Hospital,Urban,196,6,6,3,1,0.2,7,131,1
St. Mary’s Regional Health,Rural,50,8,3,4,1,0.2,2,170,1
Summit Health Center,Urban,199,11,1,16,1,0.2,9,129,1
Summit Health Center,Urban,128,10,2,13,1,0.25,10,82,2
St. Mary’s Regional Health,Rural,48,2,2,0,1,0.25,3,336,1
Springfield General Hospital,Urban,193,6,3,10,4,0.5,6,21,4
Springfield General Hospital,Urban,197,5,1,22,3,0.3333333333333333,1,29,4
Riverside Medical Center,Urban,85,2,5,17,1,0.2,1,173,1
Riverside Medical Center,Urban,155,11,2,21,4,1.0,6,8,5
Riverside Medical Center,Urban,115,9,0,22,4,1.0,2,18,4
Riverside Medical Center,Urban,119,3,4,4,4,1.0,3,16,4
Riverside Medical Center,Urban,190,1,5,16,4,1.0,9,20,4
Riverside Medical Center,Urban,152,12,2,9,2,0.3333333333333333,6,77,2
Riverside Medical Center,Urban,57,8,4,18,1,0.2,10,189,1
Springfield General Hospital,Urban,105,11,2,10,3,0.25,3,35,4
Springfield General Hospital,Urban,53,1,0,10,4,1.0,8,24,4
Northside Community Hospital,Rural,49,4,1,18,3,0.25,3,31,4
Summit Health Center,Urban,88,10,2,23,4,1.0,5,10,4
Northside Community Hospital,Rural,17,7,4,14,2,0.25,2,92,2
Summit Health Center,Urban,79,8,2,19,1,0.25,5,196,1
Riverside Medical Center,Urban,63,8,5,11,3,0.25,5,44,4
Springfield General Hospital,Urban,139,1,3,14,1,0.2,8,253,1
Springfield General Hospital,Urban,199,10,2,11,1,0.25,2,189,1
Northside Community Hospital,Rural,40,9,3,18,1,0.25,1,181,1
Springfield General Hospital,Urban,184,9,1,1,4,1.0,1,13,5
Springfield General Hospital,Urban,191,3,4,11,4,1.0,4,17,5
St. Mary’s Regional Health,Rural,42,2,6,0,2,0.25,2,124,1
St. Mary’s Regional Health,Rural,18,1,4,16,4,0.5,3,31,3
Northside Community Hospital,Rural,13,4,0,19,3,0.25,3,57,3
St. Mary’s Regional Health,Rural,44,7,4,9,4,0.5,1,31,4
Riverside Medical Center,Urban,120,7,4,3,1,0.25,4,144,1
Northside Community Hospital,Rural,12,8,3,1,2,0.3333333333333333,1,77,3
St. Mary’s Regional Health,Rural,13,8,0,8,4,1.0,3,19,4
St. Mary’s Regional Health,Rural,38,4,2,17,1,0.2,0,99,1
Northside Community Hospital,Rural,46,12,3,7,3,0.3333333333333333,0,37,4
Summit Health Center,Urban,135,5,2,1,1,0.2,9,71,3
Springfield General Hospital,Urban,170,8,0,18,2,0.25,8,116,1
Springfield General Hospital,Urban,168,2,6,12,4,0.5,7,18,4
Summit Health Center,Urban,110,1,2,16,3,0.25,8,37,4
St. Mary’s Regional Health,Rural,28,4,5,1,1,0.25,0,121,1
Riverside Medical Center,Urban,166,2,2,14,4,0.5,4,14,5
Summit Health Center,Urban,72,5,5,13,1,0.25,3,223,1
Springfield General Hospital,Urban,143,12,1,9,1,0.25,3,179,1
Riverside Medical Center,Urban,144,12,1,20,1,0.2,10,231,1
Northside Community Hospital,Rural,13,12,0,20,1,0.2,3,329,1
Springfield General Hospital,Urban,79,10,6,8,1,0.25,6,128,1
Springfield General Hospital,Urban,103,9,6,10,1,0.2,9,140,1
Summit Health Center,Urban,149,2,4,9,2,0.3333333333333333,7,158,1
Riverside Medical Center,Urban,198,4,1,14,3,0.25,1,59,3
Summit Health Center,Urban,117,12,5,21,2,0.25,6,131,1
Springfield General Hospital,Urban,103,2,0,11,2,0.25,3,177,1
Springfield General Hospital,Urban,87,4,5,6,3,0.25,3,33,4
Riverside Medical Center,Urban,163,8,5,17,1,0.25,7,184,1
Riverside Medical Center,Urban,111,3,3,14,2,0.3333333333333333,2,74,3
Northside Community Hospital,Rural,27,7,0,4,3,0.25,0,59,3
St. Mary’s Regional Health,Rural,25,8,6,18,1,0.2,1,167,1
Springfield General Hospital,Urban,125,5,4,22,4,0.5,9,31,4
Summit Health Center,Urban,179,6,6,15,1,0.25,7,129,1
Summit Health Center,Urban,55,6,1,13,3,0.3333333333333333,10,60,3
Northside Community Hospital,Rural,10,1,3,3,1,0.25,1,204,1
Riverside Medical Center,Urban,135,1,5,19,2,0.3333333333333333,9,96,2
Northside Community Hospital,Rural,16,9,4,10,3,0.3333333333333333,0,33,4
Summit Health Center,Urban,66,12,4,15,2,0.25,5,82,3
Northside Community Hospital,Rural,46,5,0,10,2,0.3333333333333333,0,107,1
Northside Community Hospital,Rural,33,6,6,15,2,0.25,3,59,3
Springfield General Hospital,Urban,82,7,0,1,3,0.25,4,111,1
Riverside Medical Center,Urban,97,12,2,19,2,0.25,8,83,2
Northside Community Hospital,Rural,25,1,1,20,1,0.2,0,228,1
Summit Health Center,Urban,164,3,4,15,1,0.2,1,155,1
St. Mary’s Regional Health,Rural,23,3,2,18,1,0.25,0,139,1
Riverside Medical Center,Urban,51,6,3,12,2,0.3333333333333333,5,127,1
Springfield General Hospital,Urban,108,3,5,2,3,0.3333333333333333,3,47,3
Summit Health Center,Urban,180,4,3,11,2,0.3333333333333333,5,60,3
Riverside Medical Center,Urban,193,5,2,8,2,0.3333333333333333,10,63,3
Springfield General Hospital,Urban,53,2,6,1,2,0.3333333333333333,1,121,1
Riverside Medical Center,Urban,158,4,6,15,4,0.5,5,7,4
Springfield General Hospital,Urban,120,6,1,1,3,0.25,6,34,4
Summit Health Center,Urban,192,7,0,14,2,0.25,10,165,1
Springfield General Hospital,Urban,199,9,6,4,4,0.5,10,10,4
Summit Health Center,Urban,156,10,0,6,3,0.25,5,55,3
Springfield General Hospital,Urban,107,1,6,7,4,0.5,10,30,4
Northside Community Hospital,Rural,31,9,6,16,4,1.0,1,7,4
Riverside Medical Center,Urban,174,2,3,8,4,0.5,10,17,4
Northside Community Hospital,Rural,12,8,6,17,2,0.25,0,81,2
Riverside Medical Center,Urban,174,12,6,7,4,1.0,7,14,5
Northside Community Hospital,Rural,26,5,4,6,4,1.0,1,6,5
St. Mary’s Regional Health,Rural,36,4,4,17,2,0.25,2,158,1
Northside Community Hospital,Rural,49,2,6,17,1,0.25,2,112,1
St. Mary’s Regional Health,Rural,35,4,3,2,3,0.25,3,18,4
St. Mary’s Regional Health,Rural,33,1,5,9,4,0.5,2,17,4
Springfield General Hospital,Urban,60,9,0,13,3,0.3333333333333333,3,47,3
Riverside Medical Center,Urban,76,1,5,4,4,1.0,8,15,4
St. Mary’s Regional Health,Rural,28,8,5,19,2,0.25,2,81,2
St. Mary’s Regional Health,Rural,32,6,1,23,3,0.3333333333333333,0,53,4
Springfield General Hospital,Urban,68,6,5,15,3,0.3333333333333333,5,41,3
Riverside Medical Center,Urban,161,12,4,18,3,0.25,4,47,4
Northside Community Hospital,Rural,48,8,0,19,3,0.3333333333333333,2,67,3
Northside Community Hospital,Rural,26,1,5,1,4,1.0,2,15,5
Springfield General Hospital,Urban,155,9,3,6,4,1.0,10,12,4
Northside Community Hospital,Rural,19,12,3,19,3,0.3333333333333333,0,36,4
Northside Community Hospital,Rural,43,6,2,5,3,0.3333333333333333,0,26,4
Northside Community Hospital,Rural,13,7,1,13,3,0.25,0,48,3
Summit Health Center,Urban,62,8,2,16,4,0.5,7,16,4
Northside Community Hospital,Rural,35,6,3,6,2,0.25,0,85,2
Northside Community Hospital,Rural,30,5,0,1,4,1.0,1,26,4
Riverside Medical Center,Urban,50,4,4,18,1,0.25,9,124,1
Riverside Medical Center,Urban,190,6,6,20,1,0.2,1,98,1
St. Mary’s Regional Health,Rural,44,4,2,5,3,0.3333333333333333,1,26,4
Northside Community Hospital,Rural,39,12,3,23,3,0.25,0,70,3
Riverside Medical Center,Urban,166,7,0,5,2,0.3333333333333333,9,78,2
Springfield General Hospital,Urban,77,3,4,23,2,0.3333333333333333,2,89,2
Springfield General Hospital,Urban,156,11,2,21,1,0.2,7,110,1
Northside Community Hospital,Rural,45,10,2,21,1,0.25,2,142,1
St. Mary’s Regional Health,Rural,47,12,5,18,4,1.0,2,13,4
Springfield General Hospital,Urban,136,1,0,0,4,0.5,8,41,4
Riverside Medical Center,Urban,51,3,5,1,1,0.25,3,84,2
St. Mary’s Regional Health,Rural,41,12,6,13,2,0.3333333333333333,1,86,2
Springfield General Hospital,Urban,109,2,3,22,4,0.5,8,27,4
Northside Community Hospital,Rural,20,8,1,11,2,0.3333333333333333,2,125,1
St. Mary’s Regional Health,Rural,37,6,1,0,2,0.25,3,137,1
Riverside Medical Center,Urban,192,4,1,0,2,0.3333333333333333,7,90,2
St. Mary’s Regional Health,Rural,24,9,6,16,2,0.25,3,77,2
Northside Community Hospital,Rural,20,6,0,6,1,0.25,2,207,1
Northside Community Hospital,Rural,31,5,4,8,3,0.3333333333333333,2,22,5
Summit Health Center,Urban,75,4,4,15,4,0.5,2,12,4
Northside Community Hospital,Rural,18,12,6,12,3,0.25,1,25,4
St. Mary’s Regional Health,Rural,16,2,5,6,3,0.25,2,37,4
St. Mary’s Regional Health,Rural,20,8,2,0,1,0.2,2,215,1
St. Mary’s Regional Health,Rural,14,9,3,16,3,0.3333333333333333,3,17,5
Springfield General Hospital,Urban,173,11,6,18,3,0.25,8,40,4
St. Mary’s Regional Health,Rural,13,1,1,13,2,0.25,2,185,1
Summit Health Center,Urban,156,2,2,7,2,0.3333333333333333,6,81,2
Springfield General Hospital,Urban,177,9,6,20,4,1.0,2,5,5
Summit Health Center,Urban,60,2,3,23,4,1.0,7,24,4
Riverside Medical Center,Urban,87,4,1,5,1,0.2,5,145,1
St. Mary’s Regional Health,Rural,50,7,6,1,3,0.3333333333333333,1,47,3
Summit Health Center,Urban,102,5,3,4,1,0.2,8,140,1
St. Mary’s Regional Health,Rural,12,5,5,8,1,0.2,1,106,1
Springfield General Hospital,Urban,136,8,6,16,3,0.3333333333333333,9,26,4
Summit Health Center,Urban,63,4,6,1,2,0.25,5,76,2
St. Mary’s Regional Health,Rural,17,10,3,21,2,0.3333333333333333,1,70,3
Springfield General Hospital,Urban,196,2,6,18,4,1.0,1,15,4
Springfield General Hospital,Urban,139,7,4,7,4,0.5,3,22,4
Northside Community Hospital,Rural,22,3,5,22,2,0.3333333333333333,1,80,2
Riverside Medical Center,Urban,111,4,1,3,3,0.25,4,49,3
Northside Community Hospital,Rural,16,8,4,19,2,0.3333333333333333,2,116,1
Riverside Medical Center,Urban,129,2,5,4,1,0.2,3,280,1
Riverside Medical Center,Urban,187,12,1,1,2,0.3333333333333333,9,66,3
Northside Community Hospital,Rural,35,5,5,23,3,0.25,2,25,4
Springfield General Hospital,Urban,131,5,2,22,4,0.5,4,20,5
St. Mary’s Regional Health,Rural,11,4,6,22,1,0.2,2,153,1
Northside Community Hospital,Rural,38,5,4,8,1,0.2,2,125,1
Springfield General Hospital,Urban,121,8,5,23,3,0.25,2,56,3
Riverside Medical Center,Urban,102,6,5,15,4,0.5,9,14,4
Springfield General Hospital,Urban,100,2,3,5,3,0.25,10,78,2
Riverside Medical Center,Urban,164,11,4,6,2,0.3333333333333333,10,73,2
St. Mary’s Regional Health,Rural,21,12,2,23,2,0.25,3,132,1
Springfield General Hospital,Urban,156,6,5,2,3,0.25,2,64,2
Summit Health Center,Urban,186,2,4,13,4,0.5,8,35,4
St. Mary’s Regional Health,Rural,36,3,0,10,1,0.2,3,308,1
Riverside Medical Center,Urban,118,12,3,17,2,0.3333333333333333,2,111,1
Northside Community Hospital,Rural,37,2,3,2,1,0.25,1,254,1
Northside Community Hospital,Rural,14,10,3,8,2,0.25,3,126,1
Northside Community Hospital,Rural,23,8,4,11,4,0.5,0,26,4
Riverside Medical Center,Urban,194,1,0,21,4,0.5,10,47,4
Riverside Medical Center,Urban,160,2,6,5,4,1.0,6,23,4
Northside Community Hospital,Rural,40,3,0,19,2,0.3333333333333333,3,120,1
Riverside Medical Center,Urban,109,3,5,21,1,0.2,1,145,1
Riverside Medical Center,Urban,169,6,2,18,4,0.5,5,31,4
Riverside Medical Center,Urban,60,1,5,8,3,0.25,4,32,4
Springfield General Hospital,Urban,95,9,6,14,3,0.3333333333333333,3,14,5
Springfield General Hospital,Urban,102,9,0,13,1,0.25,4,149,1
Springfield General Hospital,Urban,88,11,5,20,4,0.5,2,11,4
Summit Health Center,Urban,122,9,1,4,2,0.25,8,66,3
Springfield General Hospital,Urban,82,3,5,19,1,0.2,1,137,1
St. Mary’s Regional Health,Rural,30,3,2,17,2,0.3333333333333333,0,47,3
Summit Health Center,Urban,67,12,3,11,1,0.2,10,239,1
Springfield General Hospital,Urban,165,9,0,17,3,0.25,1,39,4
Northside Community Hospital,Rural,46,3,1,15,3,0.3333333333333333,1,55,3
Riverside Medical Center,Urban,159,12,5,16,1,0.2,7,223,1
Springfield General Hospital,Urban,200,8,5,6,4,1.0,4,20,5
Springfield General Hospital,Urban,184,5,1,13,3,0.25,7,25,5
St. Mary’s Regional Health,Rural,41,11,1,19,4,0.5,2,9,5
St. Mary’s Regional Health,Rural,31,4,0,2,1,0.25,3,242,1
St. Mary’s Regional Health,Rural,20,6,5,2,1,0.2,2,161,1
Northside Community Hospital,Rural,34,11,6,8,2,0.25,0,42,4
Riverside Medical Center,Urban,127,4,3,20,2,0.3333333333333333,10,74,3
Summit Health Center,Urban,168,4,5,14,4,1.0,6,21,5
Northside Community Hospital,Rural,22,3,4,16,1,0.2,1,215,1
Summit Health Center,Urban,100,8,6,5,4,0.5,6,15,4
Summit Health Center,Urban,93,7,4,1,4,0.5,10,30,4
Springfield General Hospital,Urban,84,2,4,6,4,0.5,6,32,4
Riverside Medical Center,Urban,84,11,4,8,3,0.25,4,51,3
Riverside Medical Center,Urban,145,7,3,9,1,0.25,5,171,1
Springfield General Hospital,Urban,144,2,4,3,2,0.3333333333333333,2,131,1
Springfield General Hospital,Urban,139,10,0,2,2,0.25,1,128,1
Riverside Medical Center,Urban,130,2,0,12,2,0.3333333333333333,6,124,1
Springfield General Hospital,Urban,75,12,4,10,3,0.3333333333333333,1,46,4
St. Mary’s Regional Health,Rural,37,2,4,8,2,0.3333333333333333,2,121,1
St. Mary’s Regional Health,Rural,18,8,2,18,2,0.25,2,100,1
Summit Health Center,Urban,126,5,0,0,3,0.3333333333333333,6,39,3
Riverside Medical Center,Urban,86,4,1,14,2,0.3333333333333333,7,84,2
Riverside Medical Center,Urban,72,6,4,14,3,0.3333333333333333,7,31,4
Summit Health Center,Urban,182,12,4,3,2,0.25,7,182,1
Northside Community Hospital,Rural,25,1,5,4,3,0.25,1,59,3
Riverside Medical Center,Urban,155,9,1,18,1,0.2,10,152,1
St. Mary’s Regional Health,Rural,32,10,0,7,2,0.25,3,89,3
Springfield General Hospital,Urban,68,10,2,11,4,0.5,4,13,5
Riverside Medical Center,Urban,145,4,5,15,2,0.25,4,57,3
Springfield General Hospital,Urban,61,10,1,2,1,0.2,7,203,1
St. Mary’s Regional Health,Rural,31,2,0,2,4,1.0,3,22,5
Springfield General Hospital,Urban,197,9,1,23,3,0.25,9,42,4
Summit Health Center,Urban,193,3,2,6,4,1.0,9,17,5
Northside Community Hospital,Rural,43,5,1,5,4,1.0,1,19,5
Summit Health Center,Urban,171,12,4,19,2,0.3333333333333333,2,124,1
St. Mary’s Regional Health,Rural,36,8,3,2,3,0.25,2,33,4
Northside Community Hospital,Rural,41,7,0,16,1,0.25,1,294,1
Northside Community Hospital,Rural,38,9,5,18,4,0.5,1,9,5
Summit Health Center,Urban,199,10,0,1,1,0.2,2,171,1
Springfield General Hospital,Urban,90,8,4,10,3,0.25,1,74,2
